"","x"
"1",2
"2",1
"3",1
"4",2
"5",2
"6",2
"7",1
"8",2
"9",2
"10",1
"11",2
"12",1
"13",2
"14",1
"15",2
"16",2
"17",2
"18",1
"19",2
"20",1
"21",1
"22",2
"23",2
"24",2
"25",2
"26",2
"27",2
"28",1
"29",2
"30",2
"31",1
"32",2
"33",1
"34",2
"35",2
"36",1
"37",2
"38",1
"39",2
"40",2
"41",2
"42",2
"43",2
"44",1
"45",2
"46",2
"47",2
"48",2
"49",2
"50",2
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",1
"58",1
"59",1
"60",2
"61",2
"62",2
"63",3
"64",3
"65",3
"66",3
"67",3
"68",2
"69",2
"70",1
"71",2
"72",2
"73",2
"74",1
"75",1
"76",2
"77",3
"78",3
"79",3
"80",3
"81",3
"82",3
"83",3
"84",3
"85",1
"86",2
"87",3
"88",3
"89",3
"90",3
"91",2
"92",2
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",1
"101",2
"102",3
"103",3
"104",3
"105",2
"106",1
"107",3
"108",2
"109",2
"110",2
"111",2
"112",1
"113",2
"114",2
"115",2
"116",1
"117",3
"118",3
"119",2
"120",2
"121",2
"122",2
"123",2
"124",1
"125",3
"126",3
"127",1
"128",2
"129",1
"130",2
"131",1
"132",1
"133",3
"134",3
"135",3
"136",1
"137",1
"138",2
"139",3
"140",3
"141",2
"142",2
"143",2
"144",2
"145",2
"146",3
"147",1
"148",1
"149",3
"150",3
"151",3
"152",3
"153",3
"154",2
"155",2
"156",3
"157",3
"158",3
"159",3
"160",3
"161",3
"162",3
"163",3
"164",2
"165",1
"166",2
"167",2
"168",2
"169",2
"170",3
"171",3
"172",3
"173",3
"174",3
"175",2
"176",2
"177",1
"178",2
"179",2
"180",2
"181",1
"182",1
"183",2
"184",2
"185",2
"186",1
"187",2
"188",2
"189",2
"190",2
"191",2
"192",1
"193",1
"194",2
"195",2
"196",2
"197",2
"198",1
"199",2
"200",2
