"","x"
"1",2
"2",1
"3",1
"4",2
"5",1
"6",1
"7",2
"8",1
"9",1
"10",1
"11",3
"12",1
"13",2
"14",1
"15",1
"16",2
"17",1
"18",1
"19",3
"20",3
"21",3
"22",1
"23",1
"24",2
"25",1
"26",1
"27",2
"28",1
"29",1
"30",1
"31",1
"32",2
"33",2
"34",1
"35",2
"36",1
"37",2
"38",1
"39",1
"40",2
"41",1
"42",1
"43",1
"44",2
"45",1
"46",1
"47",2
"48",1
"49",1
"50",2
"51",1
"52",1
"53",1
"54",1
"55",2
"56",2
"57",1
"58",1
"59",2
"60",2
"61",1
"62",1
"63",3
"64",3
"65",2
"66",2
"67",1
"68",1
"69",2
"70",1
"71",1
"72",2
"73",1
"74",1
"75",1
"76",1
"77",2
"78",1
"79",2
"80",1
"81",2
"82",3
"83",2
"84",1
"85",1
"86",1
"87",1
"88",2
"89",2
"90",1
"91",3
"92",3
"93",3
"94",1
"95",1
"96",2
"97",1
"98",1
"99",2
"100",2
"101",2
"102",1
"103",3
"104",1
"105",1
"106",2
"107",2
"108",1
"109",2
"110",1
"111",1
"112",2
"113",1
"114",2
"115",1
"116",2
"117",1
"118",1
"119",2
"120",1
"121",2
"122",1
"123",2
"124",2
"125",1
"126",2
"127",2
"128",1
"129",2
"130",2
"131",1
"132",1
"133",2
"134",1
"135",2
"136",1
"137",1
"138",2
"139",1
"140",2
"141",2
"142",1
"143",2
"144",1
"145",2
"146",2
"147",1
"148",1
"149",2
"150",1
"151",1
"152",3
"153",3
"154",3
"155",3
"156",1
"157",2
"158",1
"159",1
"160",2
"161",1
"162",2
"163",1
"164",2
"165",2
"166",1
"167",2
"168",1
"169",2
"170",1
"171",1
"172",2
"173",1
"174",3
"175",3
"176",1
"177",1
"178",1
"179",1
"180",2
"181",2
"182",2
"183",1
"184",2
"185",1
"186",1
"187",2
"188",2
"189",1
"190",2
"191",2
"192",2
"193",1
"194",2
"195",1
"196",1
"197",1
"198",2
"199",1
"200",1
"201",3
"202",3
"203",3
"204",1
"205",2
"206",1
"207",2
"208",2
"209",1
"210",1
"211",1
"212",1
"213",2
"214",2
"215",1
"216",2
"217",1
"218",1
"219",2
"220",2
"221",1
"222",2
"223",1
"224",1
"225",2
"226",1
"227",2
"228",2
"229",2
"230",1
"231",3
"232",3
"233",1
"234",2
"235",2
"236",2
"237",2
"238",1
"239",2
"240",2
"241",1
"242",2
"243",1
"244",2
"245",2
"246",1
"247",1
"248",2
"249",1
"250",2
"251",2
"252",1
"253",1
"254",3
"255",3
"256",3
"257",3
"258",1
"259",2
"260",2
"261",1
"262",3
"263",1
"264",1
"265",1
"266",2
"267",1
"268",2
"269",1
"270",2
"271",2
"272",2
"273",1
"274",2
"275",1
"276",1
"277",3
"278",3
"279",3
"280",1
"281",2
"282",1
"283",1
"284",3
"285",3
"286",3
"287",3
"288",3
"289",2
"290",2
"291",1
"292",3
"293",3
"294",2
"295",2
"296",1
"297",2
"298",2
"299",3
"300",2
"301",2
"302",1
"303",2
"304",1
"305",2
"306",1
"307",1
"308",2
"309",2
"310",2
"311",2
"312",2
"313",2
"314",2
"315",2
"316",1
"317",1
"318",2
"319",1
"320",1
"321",1
"322",2
"323",3
"324",3
"325",2
"326",1
"327",3
"328",3
"329",2
"330",2
"331",1
"332",2
"333",2
"334",1
"335",2
"336",2
"337",3
"338",1
"339",2
"340",2
"341",2
"342",2
"343",2
"344",2
"345",2
"346",1
"347",1
"348",1
"349",2
"350",2
"351",2
"352",2
"353",2
"354",1
"355",2
"356",2
"357",2
"358",2
"359",2
"360",2
"361",1
"362",3
"363",3
"364",3
"365",3
"366",1
"367",2
"368",1
"369",2
"370",2
"371",3
"372",3
"373",3
"374",2
"375",1
"376",2
"377",1
"378",2
"379",2
"380",2
"381",2
"382",2
"383",1
"384",2
"385",2
"386",2
"387",2
"388",2
"389",1
"390",1
"391",3
"392",3
"393",3
"394",3
"395",3
"396",3
"397",3
"398",3
"399",3
"400",2
"401",2
"402",2
"403",2
"404",2
"405",2
"406",3
"407",3
"408",3
"409",3
"410",3
"411",3
"412",2
"413",2
"414",2
"415",2
"416",2
"417",1
"418",2
"419",3
"420",3
"421",3
"422",3
"423",3
"424",3
"425",3
"426",3
"427",3
"428",3
"429",3
"430",3
"431",3
"432",2
"433",2
"434",2
"435",2
"436",2
"437",3
"438",3
"439",2
"440",3
"441",2
"442",3
"443",1
"444",2
"445",1
"446",2
"447",2
"448",3
"449",3
"450",3
"451",3
"452",3
"453",2
"454",3
"455",3
"456",3
"457",1
"458",1
"459",1
"460",1
"461",1
"462",1
"463",1
"464",1
"465",1
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",2
"476",1
"477",1
"478",1
"479",1
"480",1
"481",1
"482",2
"483",2
"484",1
"485",1
"486",1
"487",2
"488",2
"489",1
"490",2
"491",1
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",1
"499",2
"500",2
