"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",0,14,15,14,0,4.5,6,0,3,4.5,0,11,0,15,16,0,0,8,13,8,2.5,0,0,0,0,0,7.5,8.5,0,0,6,0,12.5,10.5,0,8,0,15,0,0,11.5,5.5,0,7,0,0,13.5,7.5,0,4.5,4,10,8,4,8.5,5,6.5,6.5,6.5,5.5,11,13.5,0,0,0,0,0,13.5,3,6.5,13,9,8,13,4,9,0,0,0,0,0,0,0,0,10.5,3,0,0,0,0,7,6.5,11,3,10.5,4.5,10.5,11,2.5,2.5,2.5,0,0,0,9,9,0,13,9.5,8,11,7,10.5,10.5,10.5,4.5,0,0,9,4,10.5,9.5,8,5.5,0,0,6.5,11,5,13.5,4.5,5.5,0,0,0,7.5,7.5,4.5,0,0,3,14,10.5,2.5,2.5,0,11,2.5,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,3,8,8,12.5,11,0,0,0,0,0,9.5,7,5.5,10.5,9,11,6.5,11,4,10.5,8.5,6.5,10,5.5,11,3,8,5.5,3,10.5,4.5,11.5,8,7.5,8.5,10.5
"2",14,0,1,0,14,10,8,14,11,9.5,14,3,14,1,2,14,14,7.5,5,6.5,11.5,14,14,14,14,14,7.5,6.5,14,14,8,14,5,6,14,7.5,14,1,14,14,7.5,9.5,14,7.5,14,14,8.5,7.5,14,10.5,10.5,6.5,6.5,10.5,6.5,10,7.5,7.5,7.5,10,7,5,14,14,14,14,14,5,11.5,7.5,8,5,6,5,10.5,7,14,14,14,14,14,14,14,14,5,11.5,14,14,14,14,7,7.5,4,11.5,6,10.5,3.5,3,11.5,11.5,11.5,14,14,14,8,5.5,14,4.5,8,7.5,3,7,7,3.5,3.5,10.5,14,14,7,10.5,5,5.5,6.5,9.5,14,14,7.5,3,9,1,9.5,8.5,14,14,14,6.5,6.5,10.5,14,14,11,0,4,11.5,11.5,14,7,11.5,14,14,14,14,14,10.5,11.5,14,14,14,14,14,14,14,14,11.5,11.5,7.5,6,5,4,14,14,14,14,14,4.5,7,8.5,3.5,6.5,3.5,9.5,7.5,10.5,4,6.5,7.5,7.5,10,7,11.5,6,8.5,11.5,5,10.5,4,6,6.5,6.5,6
"3",15,1,0,1,15,10.5,9,15,12,10.5,15,4,15,0,1,15,15,8.5,6,7.5,12.5,15,15,15,15,15,7.5,6.5,15,15,9,15,6,7,15,8.5,15,0,15,15,7,10,15,8.5,15,15,8,8.5,15,11,11,7,7,11,7,10.5,8.5,8.5,8.5,10.5,7.5,6,15,15,15,15,15,6,12,8.5,7.5,6,7,4.5,11,7.5,15,15,15,15,15,15,15,15,6,12,15,15,15,15,8,8.5,4.5,12,6.5,11,4.5,4,12.5,12.5,12.5,15,15,15,7.5,6.5,15,5,7.5,7.5,4,8,7.5,4.5,4.5,11,15,15,7.5,11,4.5,6.5,7.5,10,15,15,8.5,4,10,2,10.5,9.5,15,15,15,7.5,7.5,11,15,15,12,1,4.5,12.5,12.5,15,6.5,12.5,15,15,15,15,15,11,12,15,15,15,15,15,15,15,15,12,12,8.5,7,4.5,4.5,15,15,15,15,15,5.5,8,9.5,4.5,6.5,4.5,9.5,7,11,4.5,6.5,8.5,8.5,10.5,7.5,12,7,9.5,12,5.5,11,3.5,7,7.5,7,7
"4",14,0,1,0,14,10,8,14,11,9.5,14,3,14,1,2,14,14,7.5,5,6.5,11.5,14,14,14,14,14,7.5,6.5,14,14,8,14,5,6,14,7.5,14,1,14,14,7.5,9.5,14,7.5,14,14,8.5,7.5,14,10.5,10.5,6.5,6.5,10.5,6.5,10,7.5,7.5,7.5,10,7,5,14,14,14,14,14,5,11.5,7.5,8,5,6,5,10.5,7,14,14,14,14,14,14,14,14,5,11.5,14,14,14,14,7,7.5,4,11.5,6,10.5,3.5,3,11.5,11.5,11.5,14,14,14,8,5.5,14,4.5,8,7.5,3,7,7,3.5,3.5,10.5,14,14,7,10.5,5,5.5,6.5,9.5,14,14,7.5,3,9,1,9.5,8.5,14,14,14,6.5,6.5,10.5,14,14,11,0,4,11.5,11.5,14,7,11.5,14,14,14,14,14,10.5,11.5,14,14,14,14,14,14,14,14,11.5,11.5,7.5,6,5,4,14,14,14,14,14,4.5,7,8.5,3.5,6.5,3.5,9.5,7.5,10.5,4,6.5,7.5,7.5,10,7,11.5,6,8.5,11.5,5,10.5,4,6,6.5,6.5,6
"5",0,14,15,14,0,4.5,6,0,3,4.5,0,11,0,15,16,0,0,8,13,8,2.5,0,0,0,0,0,7.5,8.5,0,0,6,0,12.5,10.5,0,8,0,15,0,0,11.5,5.5,0,7,0,0,13.5,7.5,0,4.5,4,10,8,4,8.5,5,6.5,6.5,6.5,5.5,11,13.5,0,0,0,0,0,13.5,3,6.5,13,9,8,13,4,9,0,0,0,0,0,0,0,0,10.5,3,0,0,0,0,7,6.5,11,3,10.5,4.5,10.5,11,2.5,2.5,2.5,0,0,0,9,9,0,13,9.5,8,11,7,10.5,10.5,10.5,4.5,0,0,9,4,10.5,9.5,8,5.5,0,0,6.5,11,5,13.5,4.5,5.5,0,0,0,7.5,7.5,4.5,0,0,3,14,10.5,2.5,2.5,0,11,2.5,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,3,8,8,12.5,11,0,0,0,0,0,9.5,7,5.5,10.5,9,11,6.5,11,4,10.5,8.5,6.5,10,5.5,11,3,8,5.5,3,10.5,4.5,11.5,8,7.5,8.5,10.5
"6",4.5,10,10.5,10,4.5,0,2,4.5,1.5,3,4.5,7.5,4.5,10.5,11.5,4.5,4.5,4.5,10,4.5,2,4.5,4.5,4.5,4.5,4.5,3,4,4.5,4.5,3,4.5,8.5,7,4.5,4.5,4.5,10.5,4.5,4.5,7,1,4.5,3,4.5,4.5,9,3.5,4.5,1.5,0.5,6,3.5,0.5,5,1,3,3,3,2,7,10,4.5,4.5,4.5,4.5,4.5,10,1.5,3,8.5,5,5,8.5,0.5,5.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,6.5,1.5,4.5,4.5,4.5,4.5,3,3.5,7,1.5,6.5,1.5,6.5,7.5,2,2,2,4.5,4.5,4.5,4.5,5,4.5,9.5,5,3.5,7.5,5,6.5,6.5,6.5,1.5,4.5,4.5,5.5,0.5,6,5.5,4.5,1,4.5,4.5,3,7.5,3.5,10,2.5,3,4.5,4.5,4.5,5,5,1.5,4.5,4.5,1.5,10,6.5,2,2,4.5,6.5,2,4.5,4.5,4.5,4.5,4.5,0.5,1.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1.5,1.5,4.5,4,8,7,4.5,4.5,4.5,4.5,4.5,6.5,3,2.5,6.5,4.5,7.5,2,6.5,0.5,6.5,4,3,7.5,2,7,1.5,4,3,1.5,7,1.5,7,4,5,5,7
"7",6,8,9,8,6,2,0,6,3,1.5,6,5.5,6,9,10,6,6,2.5,8.5,2.5,3.5,6,6,6,6,6,1.5,2.5,6,6,2.5,6,6.5,5.5,6,2.5,6,9,6,6,5.5,2.5,6,1,6,6,7.5,1.5,6,2.5,2.5,4,2,2.5,5,2,1.5,1.5,1.5,3,6,8,6,6,6,6,6,8,3.5,1.5,8,3,3,7,2.5,4,6,6,6,6,6,6,6,6,5,3.5,6,6,6,6,1,1.5,5,3.5,5.5,2.5,4.5,5.5,3.5,3.5,3.5,6,6,6,5,3.5,6,7.5,5.5,2,5.5,3,4.5,4.5,4.5,2.5,6,6,4.5,2.5,4.5,3.5,3,2.5,6,6,1.5,5.5,2.5,8,2,2,6,6,6,3,3,2.5,6,6,3,8,5.5,3.5,3.5,6,5,3.5,6,6,6,6,6,2.5,3.5,6,6,6,6,6,6,6,6,3.5,3.5,3,2.5,6.5,5,6,6,6,6,6,4.5,1,0.5,4.5,3,5.5,3.5,5,2.5,5.5,2.5,1.5,5.5,3,5,3.5,2.5,2,3.5,5.5,2.5,5.5,2.5,3,5,5.5
"8",0,14,15,14,0,4.5,6,0,3,4.5,0,11,0,15,16,0,0,8,13,8,2.5,0,0,0,0,0,7.5,8.5,0,0,6,0,12.5,10.5,0,8,0,15,0,0,11.5,5.5,0,7,0,0,13.5,7.5,0,4.5,4,10,8,4,8.5,5,6.5,6.5,6.5,5.5,11,13.5,0,0,0,0,0,13.5,3,6.5,13,9,8,13,4,9,0,0,0,0,0,0,0,0,10.5,3,0,0,0,0,7,6.5,11,3,10.5,4.5,10.5,11,2.5,2.5,2.5,0,0,0,9,9,0,13,9.5,8,11,7,10.5,10.5,10.5,4.5,0,0,9,4,10.5,9.5,8,5.5,0,0,6.5,11,5,13.5,4.5,5.5,0,0,0,7.5,7.5,4.5,0,0,3,14,10.5,2.5,2.5,0,11,2.5,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,3,8,8,12.5,11,0,0,0,0,0,9.5,7,5.5,10.5,9,11,6.5,11,4,10.5,8.5,6.5,10,5.5,11,3,8,5.5,3,10.5,4.5,11.5,8,7.5,8.5,10.5
"9",3,11,12,11,3,1.5,3,3,0,2,3,8,3,12,13,3,3,5.5,10.5,5.5,1,3,3,3,3,3,4.5,5.5,3,3,3.5,3,9.5,8,3,5.5,3,12,3,3,8.5,2.5,3,4,3,3,10.5,4.5,3,2,1,7,5,1,6,2,4,4,4,3,8,10.5,3,3,3,3,3,10.5,1.5,4,10,6,5.5,10,1,6.5,3,3,3,3,3,3,3,3,7.5,1.5,3,3,3,3,4,3.5,8,1.5,7.5,2,7.5,8,0.5,1,0.5,3,3,3,6,6,3,10.5,6.5,5,8,5,7.5,7.5,7.5,2,3,3,6.5,1,7.5,6.5,5.5,2.5,3,3,4,8.5,3,11,2,3,3,3,3,5,5,2,3,3,0,11,7.5,0.5,0.5,3,8,0.5,3,3,3,3,3,1,1.5,3,3,3,3,3,3,3,3,1.5,1.5,5.5,5,9.5,8,3,3,3,3,3,6.5,4,2.5,7.5,6,8.5,3.5,8,1,7.5,5.5,4,7,3,8,1.5,5,3,1.5,8,2,8.5,5,5,6,8
"10",4.5,9.5,10.5,9.5,4.5,3,1.5,4.5,2,0,4.5,6.5,4.5,10.5,11.5,4.5,4.5,3.5,9,3.5,2,4.5,4.5,4.5,4.5,4.5,3,4,4.5,4.5,3,4.5,8,6,4.5,3.5,4.5,10.5,4.5,4.5,7,4,4.5,2.5,4.5,4.5,9,3,4.5,3,2.5,5.5,3.5,2.5,6,3.5,2,2,2,4,7.5,9.5,4.5,4.5,4.5,4.5,4.5,9.5,2.5,2,9.5,4.5,3.5,8.5,2.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,6.5,2.5,4.5,4.5,4.5,4.5,2.5,2,6.5,2.5,7,3,6,6.5,2.5,2,2.5,4.5,4.5,4.5,6.5,5,4.5,8.5,7,3.5,6.5,3,6,6,6,3,4.5,4.5,5.5,2.5,6,5,3.5,4,4.5,4.5,2,6.5,2,9,1.5,2.5,4.5,4.5,4.5,3,3,3,4.5,4.5,2,9.5,6.5,2.5,2.5,4.5,6.5,2.5,4.5,4.5,4.5,4.5,4.5,2.5,2.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2.5,2.5,3.5,4,8,6.5,4.5,4.5,4.5,4.5,4.5,5.5,2.5,1,6,4.5,6.5,5,6.5,2.5,6.5,4,2,6.5,4,6.5,2.5,4,2.5,2.5,6,3,7,4,3,6,6
